,,,,,,,,,,,,,,,,,,,,,,,,,
,KODE AKUN,,PROGRAM/KEG/KOUTPUT/SUBOUTPUT/KOMPONEN/SUBKOMP/DETIL,,,VOL,SAT,H SATUAN,PAGU,REALISASI,,,,SALDO,,,,,,,,,,,
,,,,,,,,,,SP2D,%,AKRURAL,%,SP2D,AKRURAL,,,,,,,,,,
,,,  - ,Obat obatan ringan [1 ls x 12 Bln x 1 lok],,12,SET,2500000,30000000,,,1998000,,_(* 30000000_),_(* 28002000_),,,,,,,,,,
,,,  - ,Alat Kebersihan ASrama,,1,PKT,10936000,10936000,,,2611000,,_(* 10936000_),_(* 8325000_),,,,,,,,,,
,H,,Kebutuhan Asrama,,,,,,6760000,0,,0,,_(* 6760000_),_(* 6760000_),,,,,,,,,,
,521252,,Belanja Peralatan dan Mesin - Ekstrakomptabel,,,,,,5600000,0,,0,,_(* 5600000_),_(* 5600000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Rak Sepatu [2 Set x 1 Smt x 1 Lok],,2,SET,350000,700000,,,,,_(* 700000_),_(* 700000_),,,,,,,,,,
,,,  - ,Setrika [2 Set x 1 Smt x 1 Lok],,2,SET,225000,450000,,,,,_(* 450000_),_(* 450000_),,,,,,,,,,
,,,  - ,Jemuran Pakaian (di dalam ruangan) [2 Set x 1 SMT x 1 Lok],,2,SET,450000,900000,,,,,_(* 900000_),_(* 900000_),,,,,,,,,,
,,,  - ,Jam Dinding [2 Set x 1 SMT x 1 Lok],,2,SET,250000,500000,,,,,_(* 500000_),_(* 500000_),,,,,,,,,,
,,,  - ,Tempat Sampah [2 Set x 1 Smt x 1 Lok],,2,SET,100000,200000,,,,,_(* 200000_),_(* 200000_),,,,,,,,,,
,,,  - ,Dispenser Air [2 Set x 1 SMT x 1 Lok],,2,SET,725000,1450000,,,,,_(* 1450000_),_(* 1450000_),,,,,,,,,,
,,,  - ,Jemuran Pakaian (di Luar ruangan) [2 Set x 1 Smt x 1 Lok],,2,SET,700000,1400000,,,,,_(* 1400000_),_(* 1400000_),,,,,,,,,,
,521811,,Belanja Barang Persediaan Barang Konsumsi,,,,,,1160000,0,,0,,_(* 1160000_),_(* 1160000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Gantungan Baju [10 Set x 1 Smt x 1 Lok],,10,SET,50000,500000,,,,,_(* 500000_),_(* 500000_),,,,,,,,,,
,,,  - ,Sapu dan Pengki [2 Set x 1 Smt x 1 Lok],,2,SET,100000,200000,,,,,_(* 200000_),_(* 200000_),,,,,,,,,,
,,,  - ,Kain Pel [2 Set x 1 Smt x 1 Lok],,2,SET,200000,400000,,,,,_(* 400000_),_(* 400000_),,,,,,,,,,
,,,  - ,Keset Lantai [2 Set x 1 Smt x 1 Lok],,2,SET,30000,60000,,,,,_(* 60000_),_(* 60000_),,,,,,,,,,
,I,,Pengasramaan Siswa,,,,,,205375000,0,,74850400,,_(* 205375000_),_(* 130524600_),,,,,,,,,,
,521811,,Belanja Barang Persediaan Barang Konsumsi,,,,,,205375000,0,,74850400,,_(* 205375000_),_(* 130524600_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Bantal [25 Org x 2 BH x 1 rom],,50,SET,110000,5500000,,,,,_(* 5500000_),_(* 5500000_),,,,,,,,,,
,,,  - ,Guling [25 Org x 2 BH x 1 rom],,50,SET,120000,6000000,,,,,_(* 6000000_),_(* 6000000_),,,,,,,,,,
,,,  - ,Handuk [25 Org x 2 BH x 1 rom],,50,SET,150000,7500000,,,,,_(* 7500000_),_(* 7500000_),,,,,,,,,,
,,,  - ,Selimut [25 Org x 2 BH x 1 rom],,50,SET,100000,5000000,,,,,_(* 5000000_),_(* 5000000_),,,,,,,,,,
,,,  - ,Pengasramaan Siswa lainnya [25 Org x 2 BH x 1 rom],,50,SET,350000,17500000,,,,,_(* 17500000_),_(* 17500000_),,,,,,,,,,
,,,  - ,Peralatan Ibadah [25 Org x 1 SET x 1 rom],,25,SET,175000,4375000,,,,,_(* 4375000_),_(* 4375000_),,,,,,,,,,
,,,  - ,Pakaian Dalam [25 Org x 7 SET x 1 rom],,175,SET,150000,26250000,,,,,_(* 26250000_),_(* 26250000_),,,,,,,,,,
,,,  - ,Pakaian Santai/Seragam [25 Org x 7 SET x 1 rom],,175,SET,200000,35000000,,,,,_(* 35000000_),_(* 35000000_),,,,,,,,,,
,,,  - ,Keperluan Kebersihan Diri [25 Org x 1 SET x 1 rom x 12 BLN,,300,SET,250000,75000000,,,74540200,,_(* 75000000_),_(* 459800_),,,,,,,,,,
,,,  - ,Keperluan Wanita [15 Org x 1 SET x 1 rom x 12 BLN,,180,SET,100000,18000000,,,310200,,_(* 18000000_),_(* 17689800_),,,,,,,,,,
,,,  - ,Jilbab Santai [15 Org x 7 BH x 1 rom],,105,SET,50000,5250000,,,,,_(* 5250000_),_(* 5250000_),,,,,,,,,,
,J,,Pengasramaan Guru dan Tenaga Pendidik,,,,,,190740000,0,,0,,_(* 190740000_),_(* 190740000_),,,,,,,,,,
,521811,,Belanja Barang Persediaan Barang Konsumsi,,,,,,190740000,0,,0,,_(* 190740000_),_(* 190740000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Bantal [44 Org x 2 Bh x 1 lok],,88,Psg,110000,9680000,,,,,_(* 9680000_),_(* 9680000_),,,,,,,,,,
,,,  - ,Guling [44 Org x 2 Bh x 1 lok],,88,Psg,120000,10560000,,,,,_(* 10560000_),_(* 10560000_),,,,,,,,,,
,,,  - ,Seprei SIngle Katun [44 Org x 2 Bh x 1 lok],,88,Psg,350000,30800000,,,,,_(* 30800000_),_(* 30800000_),,,,,,,,,,
,,,  - ,Peralatan Ibadah [44 Org x 1 Set x 1 lok],,44,Psg,175000,7700000,,,,,_(* 7700000_),_(* 7700000_),,,,,,,,,,
,,,  - ,Perlengkapan Asrama Guru dan Tenaga Pendidik [44 Org x 1 Set x 1 lok x 12 bln,,528,Psg,250000,132000000,,,,,_(* 132000000_),_(* 132000000_),,,,,,,,,,
,K,,Peralatan Makan Siswa,,,,,,10370000,0,,0,,_(* 10370000_),_(* 10370000_),,,,,,,,,,
,521811,,Belanja Barang Persediaan Barang Konsumsi,,,,,,10370000,0,,0,,_(* 10370000_),_(* 10370000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Food Tray [25 Org x 3 Set x 1 rom],,75,SET,75000,5625000,,,,,_(* 5625000_),_(* 5625000_),,,,,,,,,,
,,,  - ,Termos [2 Bh x 1 Lok],,2,SET,360000,720000,,,,,_(* 720000_),_(* 720000_),,,,,,,,,,
,,,  - ,"Peralatan Makan (Piring, Sendok) [25 org x 1 SET x 1 rom]",,25,SET,93000,2325000,,,,,_(* 2325000_),_(* 2325000_),,,,,,,,,,
,,,  - ,Gelas [25 Bh x 1 SET x 1 rom],,25,SET,53000,1325000,,,,,_(* 1325000_),_(* 1325000_),,,,,,,,,,
,,,  - ,Sendok Garpu [25 org x 1 SET x 1 rom],,25,SET,15000,375000,,,,,_(* 375000_),_(* 375000_),,,,,,,,,,
,L,,Perlengkapan Sekolah,,,,,,76750000,0,,0,,_(* 76750000_),_(* 76750000_),,,,,,,,,,
,521811,,Belanja Barang Persediaan Barang Konsumsi,,,,,,76750000,0,,0,,_(* 76750000_),_(* 76750000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Buku Paket Siswa (buku pelajaran) [25 Org x 1 thn x 1 Set x 1 rom,,25,SET,2000000,50000000,,,,,_(* 50000000_),_(* 50000000_),,,,,,,,,,
,,,  - ,"Peralatan Sekolah (atk, buku tulis) [25 Org x 1 Thn x 1 Set x 1 Rom",,25,SET,750000,18750000,,,,,_(* 18750000_),_(* 18750000_),,,,,,,,,,
,,,  - ,Buku saku guru dan tendik (buku penunjang sekolah rakyat) [4 PKT x 1 Lok],,4,SET,2000000,8000000,,,,,_(* 8000000_),_(* 8000000_),,,,,,,,,,
,M,,Dukungan Penyelenggaraan Operasional Sekolah Rakyat,,,,,,182300000,3060000,,6810000,,_(* 179240000_),_(* 175490000_),,,,,,,,,,
